PLT_CN,INVYR,LAT,LON,ELEV,COUNTYCD,canopy_cover_pct,basal_area,total_understory_cover,seedling_tpa,ground_veg_cover,vegetation_density
412223032489998,2017,32.562659,-116.984568,500.0,73,0.0,0.0,0.0,0.0,0.0,0.0
558628107126144,2019,32.573277,-116.945115,500.0,73,0.0,0.0,0.0,0.0,0.0,0.0
558628130126144,2019,32.596601,-117.077698,100.0,73,0.0,0.0,0.0,0.0,0.0,0.0
412223082489998,2017,32.606739,-117.123978,100.0,73,0.0,0.0,0.0,0.0,0.0,0.0
558628106126144,2019,32.608703,-116.907518,1100.0,73,0.0,0.0,0.0,0.0,0.0,0.0
558628108126144,2019,32.610715,-116.489973,2500.0,73,0.0,0.0,0.0,0.0,0.0,0.0
558628111126144,2019,32.613652,-116.770796,1700.0,73,0.0,0.0,0.0,0.0,0.0,0.0
412223131489998,2017,32.613834,-116.542673,3500.0,73,0.0,0.0,0.0,0.0,0.0,0.0
412220883489998,2017,32.617711,-116.267215,3500.0,73,0.0,0.0,0.0,0.0,0.0,0.0
412221976489998,2017,32.618163,-116.84687,2900.0,73,30.0,0.0,26.25,18516.424765,0.0,27.5
558628114126144,2019,32.622203,-116.232303,3300.0,73,0.0,0.0,0.0,0.0,0.0,0.0
645306424126144,2020,32.624861,-117.041817,300.0,73,0.0,0.0,0.0,0.0,0.0,0.0
412221312489998,2017,32.630739,-116.003212,1100.0,25,0.0,0.0,0.0,0.0,0.0,0.0
484817750489998,2018,32.630885,-117.127916,100.0,73,0.0,0.0,0.0,0.0,0.0,0.0
558627581126144,2019,32.636856,-115.942038,900.0,25,0.0,0.0,0.0,0.0,0.0,0.0
484817793489998,2018,32.649432,-117.241478,100.0,73,0.0,0.0,0.0,0.0,0.0,0.0
645306425126144,2020,32.654638,-116.761169,2500.0,73,0.0,0.0,0.0,0.0,0.0,0.0
484817767489998,2018,32.656875,-116.951232,700.0,73,0.0,0.0,0.0,0.0,0.0,0.0
645308143126144,2020,32.662159,-117.192012,100.0,73,0.0,0.0,0.0,0.0,0.0,0.0
484817771489998,2018,32.663162,-116.835606,900.0,73,0.0,0.0,0.0,0.0,0.0,0.0
484817249489998,2018,32.663326,-115.964281,1100.0,25,0.0,0.0,0.0,0.0,0.0,0.0
484817788489998,2018,32.663445,-116.243324,3100.0,73,0.0,0.0,0.0,0.0,0.0,0.0
484817786489998,2018,32.66423,-116.55115,2500.0,73,0.0,0.0,122.6,0.0,885.0,26.35
645306426126144,2020,32.667995,-116.892843,1100.0,73,0.0,0.0,0.0,0.0,0.0,0.0
645306427126144,2020,32.668439,-116.474009,3100.0,73,0.0,0.0,0.0,0.0,0.0,0.0
645306428126144,2020,32.669708,-116.193339,2500.0,73,0.0,0.0,0.0,0.0,0.0,0.0
484817270489998,2018,32.671443,-115.691974,100.0,25,0.0,0.0,0.0,0.0,0.0,0.0
645306431126144,2020,32.672601,-115.915377,500.0,25,0.0,0.0,0.0,0.0,0.0,0.0
645306435126144,2020,32.678089,-115.631339,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0
645306436126144,2020,32.681607,-115.357092,100.0,25,0.0,0.0,0.0,0.0,0.0,0.0
484817241489998,2018,32.683491,-115.408359,100.0,25,0.0,0.0,0.0,0.0,0.0,0.0
645306430126144,2020,32.706783,-116.336751,4300.0,73,0.0,0.0,0.0,0.0,0.0,0.0
412221790489998,2017,32.706975,-116.707418,2300.0,73,0.0,0.0,0.0,0.0,0.0,0.0
558628100126144,2019,32.707581,-116.945309,900.0,73,0.0,0.0,0.0,0.0,0.0,0.0
484817789489998,2018,32.70767,-116.143179,2500.0,73,0.0,0.0,0.0,0.0,0.0,0.0
645306429126144,2020,32.707974,-116.602594,3300.0,73,0.0,0.0,0.0,0.0,0.0,0.0
484817766489998,2018,32.71191,-116.667807,1700.0,73,0.0,0.0,0.0,0.0,0.0,0.0
412219797489998,2017,32.712201,-117.271825,100.0,73,0.0,0.0,0.0,0.0,0.0,0.0
645306433126144,2020,32.712777,-116.060001,1100.0,25,0.0,0.0,0.0,0.0,0.0,0.0
484817787489998,2018,32.712986,-116.368272,4100.0,73,0.0,0.0,0.0,0.0,0.0,0.0
484817263489998,2018,32.719472,-115.551979,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0
558628129126144,2019,32.71975,-117.223079,100.0,73,0.0,0.0,0.0,0.0,0.0,0.0
484817240489998,2018,32.720938,-115.833152,100.0,25,0.0,0.0,0.0,0.0,0.0,0.0
645306434126144,2020,32.721625,-115.769352,100.0,25,0.0,0.0,0.0,0.0,0.0,0.0
645306432126144,2020,32.721792,-116.486179,3700.0,73,0.0,0.0,0.0,0.0,0.0,0.0
645306438126144,2020,32.725204,-115.494404,100.0,25,0.0,0.0,0.0,0.0,0.0,0.0
484817242489998,2018,32.72782,-115.268427,100.0,25,0.0,0.0,0.0,0.0,0.0,0.0
645306445126144,2020,32.730222,-114.933397,300.0,25,0.0,0.0,0.0,0.0,0.0,0.0
484817235489998,2018,32.732288,-114.990609,100.0,25,0.0,0.0,0.0,0.0,0.0,0.0
645306444126144,2020,32.733658,-115.211398,100.0,25,0.0,0.0,0.0,0.0,0.0,0.0
645306449126144,2020,32.73816,-114.647884,100.0,25,0.0,0.0,0.0,0.0,0.0,0.0
412222503489998,2017,32.749254,-117.121158,300.0,73,0.0,0.0,0.0,0.0,0.0,0.0
558627578126144,2019,32.75538,-115.799532,100.0,25,0.0,0.0,0.0,0.0,0.0,0.0
412221357489998,2017,32.756087,-116.423755,3700.0,73,0.0,0.0,0.0,0.0,0.0,0.0
558628101126144,2019,32.759477,-116.105854,1100.0,73,0.0,0.0,0.0,0.0,0.0,0.0
412220618489998,2017,32.762109,-115.29576,100.0,25,0.0,0.0,0.0,0.0,0.0,0.0
558628094126144,2019,32.762321,-117.060609,500.0,73,0.0,0.0,0.0,0.0,0.0,0.0
412220091489998,2017,32.76242,-115.856236,300.0,25,0.0,0.0,0.0,0.0,0.0,0.0
558627577126144,2019,32.763194,-115.240601,100.0,25,0.0,0.0,0.0,0.0,0.0,0.0
412223130489998,2017,32.763506,-116.560285,4100.0,73,30.0,81.1707,48.38333333333333,0.0,0.0,20.52
558627587126144,2019,32.764344,-115.518359,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0
412220023489998,2017,32.765298,-115.580136,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0
645306443126144,2020,32.765544,-115.467308,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0
558628109126144,2019,32.7674,-116.371494,4500.0,73,0.0,0.0,0.0,0.0,0.0,0.0
558628099126144,2019,32.770088,-116.483138,3300.0,73,0.0,0.0,0.0,0.0,0.0,0.0
558628097126144,2019,32.771576,-116.778724,1700.0,73,0.0,0.0,0.0,0.0,0.0,0.0
